wea,Field,Value
PROPERTY INFO,Property Name,"1HD - Upper Crust, UP South Side Harpoon"
,Internal Name,1HD
,Unit / Level (Upstairs/Downstairs/Unit #/Above Garage/etc.),"Upstairs guest suite (UP) — private entry up 1 flight of stairs (LEFT side stairs, not the front stairs)"
,"Full Address (Street, City, State, ZIP)","1401 Harpoon Drive, Kill Devil Hills, NC 27948"
,Max Occupancy,2
,Beds (count),1
,Bedrooms (count),1
,Baths (count),1
,Bed Setup (describe),1 King bed
,Property Type (house/apt/studio/etc.),Private guest suite / efficiency
,Check in time,4:00 PM
,Check out time,10:00 AM
LISTING LINKS,Airbnb Title & Link,Upper Crust | Private | Kayaks | Bikes | MP7.5
,Direct Site Link,Not provided
,Other Listing Link 2,Not provided
PETS,Pets Allowed? (Yes/No),Yes
,Pet Exceptions / Approval Rules,"$10/pet/night

An excessive cleaning fee
of $100+ will be requested if it is found that animal
has been on sheets/blankets or any furniture."
CHECK-IN / ACCESS,Primary Entry Method (smart lock / lockbox / key under shell),"ENTER THE
SLIDING DOOR.
YOUR KEY IS
HANGING UP
JUST INSIDE. BE
CAREFUL NOT
TO LOCK
YOURSELF OUT"
,Lockbox Location,
,Lockbox Code,
,Where Key Works (front/back/utility/etc.),
,Emergency-Only Key Location,
,Management Contact Needed for Spare Key? (Yes/No),
PARKING,Parking Rules Summary,"PARK IN THE
GRASSED AREA
JUST PAST THE
DRIVE. DO NOT
PARK IN THE LAST
SPOT BESIDE THE
GREEN ELECTRIC
BOX, THIS IS
ANOTHER GUESTS
SPACE. WALK
TOWARDS THE
LEFT SIDE OF THE
HOUSE AND TAKE
THE DECK STEPS UP
TO THE SLIDING
GLASS DOORS, THIS
IS UPPER CRUST.
THE DOOR WILL BE
UNLOCKED AND
THE KEYS ARE
HANGING INSIDE"
,Max Vehicles Allowed,
,Where to Park (left/right/behind house/etc.),Grass area just past driveway (NOT beside green electrical box); front of car pointed toward house
,Do Not Park / Tow Notes,Do not park beside green electrical box; tires must not be on street (ticket risk)
,Parking Passes Needed? (Yes/No),No
WIFI,WiFi Network Name (SSID),ABNB 5G
,WiFi Password,5StarStay
,Modem / Router Location,Not provided
,Guest Access to Modem? (Yes/No),Unknown / Not provided
ELECTRICAL / UTILITIES,Circuit Breaker Location,
,Guest Access to Breaker? (Yes/No),
,Who Controls Thermostat (guest/upstairs/downstairs),
,HVAC Notes / Reset Instructions,
TV,TV Locations (LR/BRs/etc.),TV in suite
,Smart TVs? (Yes/No),Yes (streaming)
OUTDOOR / AMENITIES,Backyard Access (Upstairs only / Downstairs only / Shared),Shared property (there are 3 listings on-site). Outdoor amenities shared unless otherwise stated
,Porches/Patios (Shared? notes),Private balcony for suite; outdoor areas on property shared
,Grill Type (charcoal/gas/none/shared),
,Grill Location,
,"Special Outdoor Notes (trails, etc.)",Paved walking/biking trails nearby; outdoor shower; garden pond; chickens & bunnies; hammock
BEACH GEAR,Where Beach Gear Is Stored,Not provided (beach chairs/coolers/beach games mentioned as available)
BEACH TOWELS,Location and fine,DO NOT take towels to the beach/outside (house rule)
BIKES,Bikes Provided? (Yes/No),Yes
,Bike Count,Not provided (mentions bikes incl. bicycle built for 2)
,Bike Location / Storage,Not provided
,Shared Bikes? (Yes/No + notes),Yes (shared property amenities)
Lock code for bike,,
HOUSE RULES,"Key House Rules (no backyard, no grill, etc.)",Airbnb messages only; check-in after 4pm; checkout by 10am sharp; quiet hours 11pm–7am; no visitors (only registered guests); no smoking; park only in designated spot (1 car); do not take towels to beach/outside; no neighbor interaction; no refunds/date changes for weather
,Smoking Policy,No smoking
MAINTENANCE / OPS,"Common Issues (GFI resets, etc.)",Not provided
,GFI / Reset Instructions,Not provided
,Special Handling,White sofas + white lace linens: report spills/soiling; guest responsible if damage won’t come out
TRASH,Trash Pickup Days / Season Notes,
,Trash Instructions / Location,
Important Links,Property Guide,
,Photo Folder Link,
,"Other Important Links (thermostat video, rentals, etc.)",
LOST & FOUND,Process and fees,Not provided
NOTES,Misc Notes / Edge Cases,"Entry directions: go under archway and follow white fence; stairs are on your right (LEFT side of house, not front stairs). No pre-check-in parking/luggage drop. Segway NineBot scooter mentioned as provided."